Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
PI_426202_LSP	KP:GERM29053	Germplasm_Accession	Afghanistan	Lens_culinaris	6	6	6
PI_426778_LSP	KP:GERM29054	Germplasm_Accession	Pakistan	Lens_culinaris			1
PI_426784_LSP	KP:GERM29055	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_426797_LSP	KP:GERM29056	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_426807	KP:GERM29057	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_431618_LSP	KP:GERM29058	Germplasm_Accession	Iran	Lens_culinaris		1	1
PI_431622_LSP	KP:GERM29059	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431630_LSP	KP:GERM29060	Germplasm_Accession	Iran	Lens_culinaris	6	6	6
PI_431633_LSP	KP:GERM29061	Germplasm_Accession	Iran	Lens_culinaris			7
PI_431636_LSP	KP:GERM29062	Germplasm_Accession	Iran	Lens_culinaris			1
PI_431643_LSP	KP:GERM29063	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_431662_LSP	KP:GERM29064	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431663_LSP	KP:GERM29065	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431679_LSP	KP:GERM29066	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431684_LSP	KP:GERM29067	Germplasm_Accession	Iran	Lens_culinaris	6	6	6
PI_431705_LSP	KP:GERM29068	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431710	KP:GERM29069	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431714_LSP	KP:GERM29070	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431717_LSP	KP:GERM29071	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431728_LSP	KP:GERM29072	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431731_LSP	KP:GERM29073	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431739_LSP	KP:GERM29074	Germplasm_Accession	Iran	Lens_culinaris		3	3
PI_431753_LSP	KP:GERM29075	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431756_LSP	KP:GERM29076	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_431809_LSP	KP:GERM29077	Germplasm_Accession	Iran	Lens_culinaris			1
PI_431824_LSP	KP:GERM29078	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_431863_LSP	KP:GERM29079	Germplasm_Accession	Iran	Lens_culinaris			3
PI_431873_LSP	KP:GERM29080	Germplasm_Accession	Iran	Lens_culinaris		6	6
PI_431884_LSP	KP:GERM29081	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_431888_LSP	KP:GERM29082	Germplasm_Accession	Iran	Lens_culinaris		6	6
PI_431893_LSP	KP:GERM29083	Germplasm_Accession	Iran	Lens_culinaris			8
PI_431923_LSP	KP:GERM29084	Germplasm_Accession	Iran	Lens_culinaris	6	6	6
PI_431980_LSP	KP:GERM29085	Germplasm_Accession	Iran	Lens_culinaris		1	1
PI_432000_LSP	KP:GERM29086	Germplasm_Accession	Iran	Lens_culinaris	6	6	6
PI_432001_LSP	KP:GERM29087	Germplasm_Accession	Iran	Lens_culinaris			1
PI_432002_LSP	KP:GERM29088	Germplasm_Accession	Iran	Lens_culinaris			3
PI_432005_LSP	KP:GERM29089	Germplasm_Accession	Iran	Lens_culinaris			1
PI_432028_LSP	KP:GERM29090	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432033_LSP	KP:GERM29091	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432085_LSP	KP:GERM29092	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_432106_LSP	KP:GERM29093	Germplasm_Accession	Iran	Lens_culinaris			7
PI_432124_LSP	KP:GERM29094	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432145_LSP	KP:GERM29095	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432147_LSP	KP:GERM29096	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432184_LSP	KP:GERM29097	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_432188_LSP	KP:GERM29098	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_432190_LSP	KP:GERM29099	Germplasm_Accession	Iran	Lens_culinaris		8	8
PI_432201_LSP	KP:GERM29100	Germplasm_Accession	Iran	Lens_culinaris	8	8	8
PI_432212_LSP	KP:GERM29101	Germplasm_Accession	Iran	Lens_culinaris	3	3	3
PI_432236_LSP	KP:GERM29102	Germplasm_Accession	Jordan	Lens_culinaris	3	3	3
PI_432245_LSP	KP:GERM29103	Germplasm_Accession	Lebanon	Lens_culinaris	1	1	1
PI_432271_LSP	KP:GERM29104	Germplasm_Accession	Turkey	Lens_culinaris	8	8	8
PI_432286_LSP	KP:GERM29105	Germplasm_Accession	Egypt	Lens_culinaris	2	2	2
PI_451763_LSP	KP:GERM29106	Germplasm_Accession	USA	Lens_culinaris			8
PI_458503_LSP	KP:GERM29107	Germplasm_Accession	Mexico	Lens_culinaris			8
PI_468900_LSP	KP:GERM29108	Germplasm_Accession	Brazil	Lens_culinaris			8
PI_468901	KP:GERM29109	Germplasm_Accession	Brazil	Lens_culinaris		8	8
PI_468902_LSP	KP:GERM29110	Germplasm_Accession	Brazil	Lens_culinaris		8	8
PI_472136_LSP	KP:GERM29111	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472205_LSP	KP:GERM29112	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472213_LSP	KP:GERM29113	Germplasm_Accession	India	Lens_culinaris			1
PI_472327_LSP	KP:GERM29114	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472380_LSP	KP:GERM29115	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472416_LSP	KP:GERM29116	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472488_LSP	KP:GERM29117	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472559_LSP	KP:GERM29118	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472561_LSP	KP:GERM29119	Germplasm_Accession	India	Lens_culinaris	4	4	4
PI_472569_LSP	KP:GERM29120	Germplasm_Accession	Egypt	Lens_culinaris	4	4	4
PI_472588_LSP	KP:GERM29121	Germplasm_Accession	Egypt	Lens_culinaris			3
